compare,basehomo,similarity,baseline
世,更,0.9978379,1
世,案,0.9974626,1
世,内,0.99872994,1
世,命,0.98854303,1
世,哭,0.99169725,1
世,弄,0.99329734,1
世,利,0.99736416,1
世,选,0.98561305,1
世,搞,0.9926951,1
世,照,0.99856246,1
世,祝,0.99812174,1
世,阿,0.9383893,1
世,迪,0.99328184,1
世,俩,0.99560696,1
世,尔,0.99785405,1
世,鸡,0.99611866,1
世,梁,0.9957931,1
世,茹,0.9960472,1
世,短,0.99687994,1
世,杨,0.9929089,1
世,徐,0.9884694,1
世,除,0.99668974,1
世,暑,0.9989183,1
世,体,0.99844223,1
世,排,0.99770623,1
世,泡,0.99605507,1
世,右,0.99766564,1
世,舒,0.9977974,1
世,类,0.9975845,1
世,型,0.99660915,1
世,剧,0.99133164,1
世,郊,0.9958089,1
世,维,0.99630266,1
世,童,0.99279755,1
世,或,0.99870676,1
世,介,0.9924892,1
世,强,0.9962,1
世,座,0.9931563,1
世,冒,0.99675447,1
世,娃,0.9973921,1
世,武,0.9903189,1
世,闭,0.99741656,1
是,世,0.99774235,0
似,脑,0.99374294,1
似,术,0.9952862,1
似,印,0.9961866,1
似,良,0.99718225,1
似,似,0.9900644,1
似,河,0.9921749,1
似,治,0.99776024,1
似,楼,0.99478775,1
似,香,0.9943725,1
似,将,0.995456,1
似,保,0.996516,1
似,简,0.9972739,1
似,适,0.99848455,1
似,男,0.9976008,1
似,兵,0.9953747,1
似,俊,0.9973272,1
似,刮,0.9959242,1
似,标,0.9963319,1
似,阳,0.99796873,1
似,弹,0.9979858,1
似,装,0.99633956,1
似,望,0.9973565,1
似,卖,0.997917,1
似,包,0.997415,1
似,戏,0.9969925,1
似,背,0.99812543,1
似,低,0.99523914,1
似,速,0.9948649,1
似,奇,0.9967908,1
似,坐,0.99774504,1
似,未,0.99122036,1
似,黑,0.9946586,1
似,礼,0.99815065,1
似,乖,0.9932305,1
似,软,0.99700195,1
似,燕,0.9919419,1
似,区,0.99831235,1
似,消,0.9961746,1
似,钢,0.9987952,1
似,伙,0.9955714,1
似,工,0.9988919,1
似,世,0.99774235,1
似,界,0.99801576,1
似,泪,0.99685335,1
似,化,0.98429036,1
似,绿,0.9967916,1
似,询,0.9976889,1
似,木,0.98947877,1
似,计,0.99714035,1
似,敬,0.99702877,1
似,吴,0.9955018,1
似,导,0.9989598,1
似,尚,0.9939133,1
似,柔,0.9911973,1
似,称,0.99870574,1
似,秦,0.98370755,1
似,余,0.99153376,1
似,业,0.99740416,1
似,往,0.9963435,1
似,刘,0.99317145,1
似,条,0.99672866,1
似,嵩,0.99859816,1
似,更,0.9978379,1
似,案,0.9974626,1
似,内,0.99872994,1
似,命,0.98854303,1
似,哭,0.99169725,1
似,弄,0.99329734,1
似,利,0.99736416,1
似,选,0.98561305,1
似,搞,0.9926951,1
似,照,0.99856246,1
似,祝,0.99812174,1
似,阿,0.9383893,1
似,迪,0.99328184,1
似,俩,0.99560696,1
似,尔,0.99785405,1
似,鸡,0.99611866,1
似,梁,0.9957931,1
似,茹,0.9960472,1
似,短,0.99687994,1
似,杨,0.9929089,1
似,徐,0.9884694,1
似,除,0.99668974,1
似,暑,0.9989183,1
似,体,0.99844223,1
