compare,basehomo,similarity,baseline
试,务,0.99848074,1
试,伦,0.99763495,1
试,久,0.99783015,1
试,舞,0.997831,1
试,进,0.9969303,1
试,嘿,0.9960205,1
试,代,0.9949422,1
试,算,0.9951476,1
试,惜,0.99187076,1
试,万,0.99724853,1
试,思,0.99689084,1
试,豆,0.99778116,1
试,断,0.99827206,1
试,落,0.99699026,1
试,并,0.9989047,1
试,炎,0.9980141,1
试,山,0.9969877,1
试,父,0.9979751,1
试,况,0.99646306,1
试,送,0.99564576,1
试,军,0.99706393,1
试,够,0.997194,1
试,咖,0.9967037,1
试,附,0.99667764,1
试,试,0.99693125,1
试,雷,0.9972512,1
试,答,0.996975,1
事,试,0.99693125,0
世,脑,0.99402833,1
世,术,0.9939367,1
世,印,0.99618787,1
世,良,0.99761534,1
世,似,0.98942703,1
世,河,0.996106,1
世,治,0.9976278,1
世,楼,0.99497396,1
世,香,0.9914674,1
世,将,0.9955369,1
世,保,0.9968588,1
世,简,0.9967646,1
世,适,0.9978431,1
世,男,0.9963082,1
世,兵,0.9965708,1
世,俊,0.99734956,1
世,刮,0.9951191,1
世,标,0.996569,1
世,阳,0.9977055,1
世,弹,0.99795794,1
世,装,0.99536824,1
世,望,0.9974058,1
世,卖,0.99727845,1
世,包,0.9981542,1
世,戏,0.99784803,1
世,背,0.9983685,1
世,低,0.9950265,1
世,速,0.9957857,1
世,奇,0.9961927,1
世,坐,0.9978124,1
世,未,0.9942143,1
世,黑,0.9966209,1
世,礼,0.99829656,1
世,乖,0.99433243,1
世,软,0.99672455,1
世,燕,0.99373335,1
世,区,0.9978098,1
世,消,0.99623567,1
世,钢,0.9987608,1
世,伙,0.9963906,1
世,工,0.9987102,1
世,世,0.9977965,1
世,界,0.99829745,1
世,泪,0.9963697,1
世,化,0.9829575,1
世,绿,0.9967909,1
世,询,0.9975512,1
世,木,0.99358153,1
世,计,0.9975948,1
世,敬,0.997378,1
世,吴,0.99585736,1
世,导,0.9988011,1
世,尚,0.9949821,1
世,柔,0.9897443,1
世,称,0.9978599,1
世,秦,0.9890522,1
世,余,0.9893215,1
世,业,0.9968827,1
世,往,0.99468607,1
世,刘,0.9943054,1
世,条,0.9969424,1
世,嵩,0.99870706,1
世,更,0.99626374,1
世,案,0.9976908,1
世,内,0.99838793,1
世,命,0.99407494,1
世,哭,0.9918034,1
世,弄,0.99309266,1
世,利,0.99628896,1
世,选,0.99201274,1
世,搞,0.9967737,1
世,照,0.9980577,1
世,祝,0.99771714,1
世,阿,0.98444504,1
世,迪,0.9899423,1
世,俩,0.9943639,1
世,尔,0.998801,1
世,鸡,0.9973328,1
世,梁,0.99658465,1
世,茹,0.9968382,1
世,短,0.9965694,1
世,杨,0.9947059,1
世,徐,0.99328667,1
世,除,0.99565256,1
世,暑,0.99896157,1
世,体,0.9979075,1
世,排,0.997754,1
世,泡,0.9945476,1
世,右,0.99819005,1
世,舒,0.9969551,1
世,类,0.997615,1
世,型,0.9966788,1
世,剧,0.99451363,1
